,lat,lon,school_index,max_children,q_children
574,-18.56325,32.05069,574,620,620
575,-19.32181,32.28362,575,620,620
576,-18.72732,32.0319,576,620,620
577,-18.82507,31.94642,577,620,620
578,-18.657,32.32068,578,620,620
579,-18.82529,32.09542,579,620,620
580,-18.71547,32.39932,580,620,620
581,-18.81697,31.97111,581,620,620
582,-19.30741,32.43501,582,620,620
583,-18.72704,31.99149,583,620,620
584,-18.94493,32.03405,584,620,620
585,-19.19563,31.9406,585,620,620
586,-19.36674,32.22268,586,620,620
587,-17.97961,32.48259,587,620,620
588,-19.92349,32.45689,588,620,620
589,-20.04285,32.84625,589,620,620
590,-20.03201,32.92003,590,620,620
591,-19.81418,32.62731,591,620,620
592,-20.06821,32.87348,592,620,620
593,-19.6874,32.92867,593,620,620
594,-19.82231,32.85371,594,620,620
595,-20.04625,32.8895,595,620,620
596,-19.86111,32.39933,596,620,620
597,-20.0855,32.91926,597,620,620
598,-19.8912,32.97858,598,620,620
599,-20.02319,32.93726,599,620,620
600,-20.03533,32.88845,600,620,620
601,-19.8447,32.70506,601,620,620
602,-19.82033,32.51964,602,620,620
603,-19.81545,32.7914,603,620,620
604,-19.9173,32.89598,604,620,620
605,-19.91067,32.65567,605,620,620
606,-19.73318,32.6545,606,620,620
607,-19.06906,31.69103,607,620,620
608,-19.04393,31.59978,608,620,620
609,-19.10786,31.74165,609,620,620
610,-19.22233,31.8918,610,620,620
611,-20.08363,32.56775,611,620,620
612,-20.24994,32.80022,612,620,620
613,-20.51799,32.66354,613,620,620
614,-20.42382,32.7359,614,620,620
615,-18.40141,32.98341,615,620,620
616,-18.51066,31.80351,616,620,620
617,-19.2471,31.75264,617,620,620
618,-19.22281,32.39787,618,620,620
619,-18.56247,32.76263,619,620,383
620,-18.87321,32.70644,620,620,620
621,-20.93366,32.14765,621,620,620
622,-18.74557,31.90336,622,620,620
623,-18.37224,32.70388,623,620,620
624,-18.48349,32.89151,624,620,556
625,-19.34194,32.01373,625,620,620
626,-19.96172,32.44889,626,620,620
627,-18.3813,33.02389,627,620,346
628,-19.35957,32.47881,628,620,620
629,-19.80635,32.70511,629,620,620
630,-19.84671,32.54546,630,620,620
631,-19.60064,32.32915,631,620,620
632,-19.21695,32.14227,632,620,620
633,-19.55237,32.70003,633,620,620
634,-19.68273,32.68229,634,620,620
635,-19.12057,31.81168,635,620,620
636,-19.2108,31.84481,636,620,620
637,-19.52039,32.26771,637,620,620
638,-17.62892,32.50139,638,620,620
639,-17.77263,32.88714,639,620,620
640,-17.84709,32.86465,640,620,504
641,-18.47644,32.9928,641,620,119
642,-20.50684,32.32367,642,620,620
643,-20.02065,32.39201,643,620,620
644,-18.00161,32.4259,644,620,620
645,-19.77343,32.55948,645,620,620
646,-19.3931,31.92875,646,620,620
647,-20.00073,32.8152,647,620,620
648,-20.32848,32.59369,648,620,620
649,-17.67836,32.51136,649,620,620
650,-19.13281,32.8022,650,620,620
651,-19.31747,32.20869,651,620,620
652,-19.43732,32.35946,652,620,620
653,-17.75076,32.94437,653,620,431
654,-19.19039,32.01507,654,620,620
655,-19.15615,31.94888,655,620,620
656,-19.93569,32.73307,656,620,620
657,-18.08191,32.23278,657,620,620
658,-18.61118,32.72926,658,620,620
659,-19.49773,32.03784,659,620,620
660,-19.83495,32.08315,660,620,620
661,-19.4066,32.34047,661,620,620
662,-19.23874,32.26188,662,620,620
663,-19.55936,32.48411,663,620,620
664,-17.82082,32.48961,664,620,620
665,-19.32616,32.05699,665,620,620
666,-19.38245,32.15245,666,620,620
667,-18.86076,31.93944,667,620,620
668,-19.60078,32.39273,668,620,620
669,-17.66745,32.48949,669,620,620
670,-17.82606,32.46112,670,620,620
671,-19.27115,32.50112,671,620,620
672,-19.18742,31.80585,672,620,620
673,-20.72366,32.36565,673,620,620
674,-20.92315,32.42402,674,620,620
675,-19.42907,32.20767,675,620,620
