,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
797,2834,MUTANDAHWE ,Manicaland,Primary,Chipinge,P3,-21.011821914119814,32.18125457508359
1698,6371,CHIKUHWA,Mashonaland East,Primary,UMP,P3,-17.212501914119812,31.83286457508359
2457,8377,JESTER,Mashonaland West,Primary,Zvimba,P3,-17.041891914119812,30.710074575083592
4647,14349,ST MARIA,Matabeleland South,Primary,Matobo,P3,-21.345721914119814,28.23386457508359
1683,6345,MAKOCHERA,Mashonaland East,Primary,Mutoko,P3,-17.208741914119813,32.26860457508359
2560,8507,MUTORANHANGA,Mashonaland West,Primary,Hurungwe,P3,-16.603761914119815,29.540394575083592
3548,10903,DHAVATA,Masvingo,Primary,Chiredzi,P3,-22.271451914119815,31.21699457508359
1868,6549,MARIRANGWE SOUTH,Mashonaland East,Primary,Seke,P3,-18.165321914119815,30.75262457508359
1417,4494,NYAMANGORE,Mashonaland Central,Primary,Guruve,P3,-16.799361914119814,30.49598457508359
5073,16383,ST THERESA,Midlands,Primary,Chirumanzu,P2,-19.267401914119812,30.50495457508359
1761,6440,ST ALOIS CHIDHAU,Mashonaland East,Primary,Goromonzi,P3,-17.564911914119815,31.53193457508359
2882,9110,SADOMA,Mashonaland West,Primary,Makonde,P3,-17.213291914119814,29.80679457508359
2809,9028,FYNNLAND,Mashonaland West,Primary,Makonde,P3,-17.124211914119815,29.99546457508359
877,2932,IMBI,Manicaland,Primary,Buhera,P3,-19.825771914119812,32.0096845750836
153,1229,WARREN PARK 4 COUNCIL PRIMARY,Harare,Primary,Warren Park Mabelreign,P2,-17.833501914119815,30.94745457508359
1596,6197,ST JOHN'S MATSVAI,Mashonaland East,Primary,Hwedza,P3,-18.729151914119814,31.736444575083592
5457,16813,SHINGAYI,Midlands,Primary,Gokwe North,P3,-17.595771914119812,29.049314575083592
4473,14089,MAYEZANE,Matabeleland South,Primary,Gwanda,P3,-20.822681914119812,28.70455457508359
1738,6415,CHINAMHORA,Mashonaland East,Primary,Goromonzi,P3,-17.516131914119814,31.208854575083592
3059,10318,MUKOKO PRIMARY,Masvingo,Primary,Gutu,P3,-19.801181914119812,31.04135457508359
3045,10304,CHITANDO PRIMARY,Masvingo,Primary,Gutu,P3,-19.863001914119813,31.24370457508359
2744,8959,EASTERLEA,Mashonaland West,Primary,Sanyati,P3,-18.340481914119813,29.90022457508359
4178,12571,BOREHOLE 42,Matabeleland North,Primary,Lupane,P3,-18.475531914119813,27.88317457508359
4933,16040,ST MICHAEL'S ASCOT,Midlands,Primary,Gweru,P2,-19.438321914119815,29.77931457508359
4615,14316,KEME,Matabeleland South,Primary,Mangwe,P3,-21.070421914119812,28.069484575083592
1119,4151,GONO PRIMARY,Mashonaland Central,Primary,Shamva,P3,-17.146251914119812,31.54608457508359
2055,6758,NZIRA,Mashonaland East,Primary,Mutoko,P3,-17.673711914119814,32.11541457508359
